Company,Primary Sector,Tags,Short Description,Country,Region,Date,Quarter,Amount ($),Investment Type,TPIC,Corp Investor?,Investor 1,Investor 2,Investor 3,Investor 4,Investor 5,Investor 6,Investor 7,Investor 8,Investor 9,Investor 10,Investor 11,Investor 12,Investor 13
Renewable Energy Trust Capital (RET),Solar,"Downstream PV,Financing,Photovoltaics (PV),Project Development,Solar",Financier of solar power projects,United States,North America,2014/01/14,1Q14,"$30,000,000",Series B,"$33,384,595",No,Global Cleantech Capital,BlueMountain Capital Management,,,,,,,,,,,
Revolution Foods,Agriculture & Food,"Agriculture & Food,Food Packaging","Provider of healthy, organic lunches with sustainable packaging for school-age children",United States,North America,2014/06/05,2Q14,"$30,000,000",Growth Equity,"$72,999,976",No,Revolution Growth,,,,,,,,,,,,
Blacklane,Transportation,"Services,Taxi/Private Car Service,Transportation",Provider of 24/7 professional private car services in over 150 cities around the world,Germany,Europe & Israel,2014/11/11,4Q14,,Growth Equity,"$14,000,000",Yes,Recruit Holdings,,,,,,,,,,,,
Ygrene Energy Fund,Energy Efficiency,"Commissioning,Energy Efficiency,Energy Services,Financing,Smart Buildings",Provider of energy efficiency project financing and PACE program management solutions,United States,North America,2014/08/14,3Q14,"$30,000,000",Growth Equity,"$30,000,000",No,Virgo Investment Group,,,,,,,,,,,,
Bluwrap,Agriculture & Food,"Agriculture & Food,Food Storage,Food Transportation,Fuel Cells & Hydrogen",Developer of fuel cell technology that creates a controlled natural atmosphere environment that extends the shelf life of perishable food,United States,North America,2014/11/05,4Q14,"$12,600,000",Growth Equity,"$18,599,994",Yes,Wheatsheaf Investments,Anterra Capital,Firelake Capital Management,Rabo Ventures,,,,,,,,,
Aseptia,Agriculture & Food,"Agriculture & Food,Food Packaging,Food Storage",Developer of aseptic food technology to preserve fresh foods in unconventional ways,United States,North America,2014/03/04,1Q14,"$28,000,000",Growth Equity,"$34,000,000",Yes,F.B. Heron Foundation,Prudential Capital Group,Lookout Capital,SJF Ventures,,,,,,,,,
Munchery,Agriculture & Food,"Agriculture & Food,Local Food Sourcing,Services,Software",Provider of chef-prepared meals using local ingredients,United States,North America,2014/04/10,2Q14,"$28,000,000",Series B,"$31,219,004",No,Sherpa Ventures,Shervin Pishevar,e.Ventures,Menlo Ventures,Jon Favreau,Roy Choi,,,,,,,
Vinted,Other Cleantech,"Cleanweb,Other Cleantech,Software","Developer of a social, mobile app creating a marketplace for second-hand clothes",Lithuania,Europe & Israel,2014/01/31,1Q14,"$27,000,000",Series B,"$33,500,000",No,Accel Partners,Insight Venture Partners,,,,,,,,,,,
Rivertop Renewables,Biofuels & Biochemicals,"Adhesives,Advanced Materials,Biofuels & Biochemicals,Chemicals,Consumer Products,Detergents,Films,Flame Retardants,Green Building & Construction,Industrial Biotech,Personal Care,Water & Wastewater",Producer of renewable chemicals such as bio-based detergent builders and corrosion inhibitors,United States,North America,2014/04/10,2Q14,"$26,000,000",Growth Equity,"$27,500,000",Yes,Cargill,First Green Partners,Cultivian Ventures,,,,,,,,,,
Seven Seas Water,Water & Wastewater,"Desalination,Hardware,Water & Wastewater,Water-Related Service Provider","Provider of seawater desalination and wastewater recycling plants in which the water can be reused for plant, lawn, and golf course irrigation",United States,North America,2014/06/06,2Q14,"$26,000,000",Growth Equity,"$77,900,000",No,Element Partners,,,,,,,,,,,,
Twist Bioscience,Biofuels & Biochemicals,"Biofuels & Biochemicals,Biotechnology Developer,Genetic Engineering,Industrial Biotech,Process Technology",Developer of synthetic genome engineering technology with applications in the production of biofuels and biochemicals,United States,North America,2014/05/27,2Q14,"$26,000,000",Series B,"$35,100,000",Yes,Tao Invest,ARCH Venture Partners,Paladin Capital Group,Applied Ventures,Yuri Milner,,,,,,,,
Phononic,Energy Efficiency,"Commercial Buildings,Efficient Heating & Cooling,Energy Efficiency,Global Cleantech 100 (2013),HVACR,Hardware,Smart Buildings","producer of solid-state heat pumps and fully integrated systems that displace compressors for residential and commercial refrigeration, room air conditioning, and heating",United States,North America,2014/04/01,2Q14,"$25,900,000",Growth Equity,"$93,900,000",No,Tsing Capital,Venrock Associates,Oak Investment Partners,,,,,,,,,,
BRD Motorcycles,Transportation,"Electric Vehicles,Hardware,Motorcycle,Transportation",Developer of on and off-road electric motorcycles,United States,North America,2014/10/01,4Q14,"$4,500,000",Series A,"$5,300,000",No,Cedarville Investments,Marc Tarpenning,Modara Technologies,Martin Eberhard,,,,,,,,,
Building Energy,Energy Efficiency,"Cleanweb,Commercial Buildings,Efficient Design & Build,Energy Audits,Energy Efficiency,Energy Services,Enterprise Energy Management,Smart Buildings,Software",Provider of building data and applications,United States,North America,2014/11/13,4Q14,"$100,000",Seed,"$100,000",No,,,,,,,,,,,,,
Airware,Other Cleantech,"Agriculture & Food,Crops,Hardware,Other Cleantech,Precision Agriculture,Software,UAV","Developer of hardware, software and cloud solutions for commercial Unmanned Aerial Vehicles",United States,North America,2014/07/23,3Q14,"$25,000,000",Series B,"$35,700,000",No,Kleiner Perkins Caufield & Byers (KPCB),Andreessen Horowitz,First Round Capital,,,,,,,,,,
Aquion Energy,Energy Storage,"Batteries,Electrochemical Storage,Energy Storage,Global Cleantech 100 (2012),Global Cleantech 100 (2013),Grid Energy Storage,Hardware,Power Grid,Wholesale Energy Services",Developer of batteries based on ambient-temperature sodium-ion technology; formerly known as 44 Tech,United States,North America,2014/09/30,3Q14,"$25,000,000",Growth Equity,"$123,400,000",No,Kleiner Perkins Caufield & Byers (KPCB),Foundation Capital,Advanced Technology Ventures,,,,,,,,,,
GetTaxi,Transportation,"Software,Taxi/Private Car Service,Transportation",Developer of a taxi hailing application,Israel,Europe & Israel,2014/08/13,3Q14,"$25,000,000",Growth Equity,"$68,000,000",No,Vostok Nafta Investment,,,,,,,,,,,,
iCix,Agriculture & Food,"Agriculture & Food,Food Safety,Supply Chain Tracking",Provider of food safety and supply chain management services,United States,North America,2014/07/22,3Q14,"$25,000,000",Growth Equity,"$51,300,000",Yes,Draper Fisher Jurvetson (DFJ),Vertical Venture Partners,Starfish Ventures,Wesfarmers,,,,,,,,,
Next Step Living,Energy Efficiency,"Cleanweb,Energy Analytics,Energy Efficiency,Global Cleantech 100 (2013),Services,Smart Buildings,Smart Home,Software",Developer of whole-home energy solutions,United States,North America,2014/06/25,2Q14,"$25,000,000",Growth Equity,"$64,252,986",No,Braemar Energy Ventures,Black Coral Capital,VantagePoint Capital Partners,,,,,,,,,,
RelayRides,Transportation,"Car Sharing,Cleanweb,Global Cleantech 100 (2011),Global Cleantech 100 (2012),Global Cleantech 100 (2013),Passenger Car,Services,Software,Transportation","Developer of a peer-to-peer car sharing platform that connects car owners willing to rent their cars that are not in use, with drivers who need short-term vehicle access",United States,North America,2014/06/23,2Q14,"$25,000,000",Series B,"$48,000,000",Yes,Canaan Partners,Google Ventures,Shasta Ventures,August Capital,,,,,,,,,
Rennovia,Biofuels & Biochemicals,"Biochemicals,Biofuel Conversion,Biofuels & Biochemicals,Cellulosic Biomass,Chemical/Catalytic Conversion,Coatings & Films,Industrial Biotech,Polymers & Coatings,Sugars",Developer of advanced catalyst and chemical manufacturing technologies,United States,North America,2014/02/11,1Q14,"$25,000,000",Growth Equity,"$76,716,866",Yes,Archer Daniels Midland,,,,,,,,,,,,
WellAware,Conventional Fuels,"Conventional Fuels,Data Analytics,Digital Oilfield,Drilling Optimization,Hardware,Monitoring & Control,Networking & Communication,Oil & Gas,Oil & Gas Production,Remote Control/Operation,Sensors,Well Engineering,Well Monitoring,Workflow & Knowledge Management",Provider of monitoring and control technology for the upstream oil & gas industry,United States,North America,2014/04/14,2Q14,"$24,700,000",Growth Equity,"$44,450,000",No,,,,,,,,,,,,,
Building Robotics,Energy Efficiency,"Building Energy Management Systems,Cleanweb,Commercial Buildings,Efficient Heating & Cooling,Energy Efficiency,Enterprise Energy Management,HVACR,Hardware,Smart Buildings,Software",Developer of people-centered intelligent control systems for commercial buildings.,United States,North America,2014/10/02,4Q14,"$5,500,000",Series A,"$6,640,000",No,Claremont Creek Ventures,The Westly Group,,,,,,,,,,,
C3Nano,Advanced Materials,"Advanced Materials,Carbon Nanotubes,Electronics,Energy Efficiency,Fullerenes,Lighting,Nanomaterials,Solar",Developer of thin film photovoltaic electrodes made of plastic rather than the traditional glass,United States,North America,2014/11/05,4Q14,"$12,000,000",Growth Equity,"$21,900,000",Yes,Nagase & Co.,GSR Ventures,Phoenix Venture Partners,Hongguo International Holdings,,,,,,,,,
Cabify,Transportation,"Cleanweb,Software,Taxi/Private Car Service,Transportation",Operator of an on-demand high-end web and mobile-app enabled car service,Spain,Europe & Israel,2014/10/16,4Q14,"$4,000,000",Growth Equity,"$16,000,000",No,Seaya Ventures,Black Vine,,,,,,,,,,,
Calnetix,Other Cleantech,"Conventional Fuels,Efficient Motors & Equipment,Energy Efficiency,Industrial Efficiency,Microturbines,Natural Gas,Natural Gas Power Generation,Oil & Gas,Other Cleantech",Manufacturer of generators and electronics for industrial applications,United States,North America,2014/11/20,4Q14,"$4,341,000",Growth Equity,"$10,006,660",No,,,,,,,,,,,,,
Hampton Creek Foods,Agriculture & Food,"Agriculture & Food,Industrial Biotech,Protein Replacements",Developer of a bio-based egg-replacement food product,United States,North America,2014/02/17,1Q14,"$23,000,000",Series B,"$120,000,000",No,Horizons Ventures,Khosla Ventures,Eagle Cliff Partners,AME Cloud Ventures,,,,,,,,,
VitAg Corporation,Agriculture & Food,"Agriculture & Food,Crops,Fertilizers,Field Treatments,Manufacturing,Organic Waste,Recycling,Recycling & Waste,Reprocessing,Reprocessing Technologies",Developer of technology that converts municipal biosolids into a high-nitrogen fertilizer product,United States,North America,2014/07/14,3Q14,"$23,000,000",Growth Equity,"$83,000,000",No,TPG Alternative & Renewable Technologies,,,,,,,,,,,,
Heliatek,Solar,"Global Cleantech 100 (2010),Global Cleantech 100 (2011),Midstream PV,Organic Photovoltaics (OPV),PV Cells / Modules,Photovoltaics (PV),Solar",Developer and producer of organic photovoltaic solar films,Germany,Europe & Israel,2014/09/30,3Q14,"$22,680,000",Growth Equity,"$54,796,660",Yes,AQTON,BASF Venture Capital,Innogy Venture Capital,Wellington Partners Venture Capital,eCAPITAL Entrepreneurial Partners,High-Tech Gründerfonds Management,,,,,,,
ChargePoint,Transportation,"Charge Stations & Infrastructure,EV Charging & Management,Global Cleantech 100 (2010),Global Cleantech 100 (2011),Global Cleantech 100 (2012),Global Cleantech 100 (2013),Hardware,Transportation,Transportation Infrastructure",Provider of electric vehicle (EV) charging solutions,United States,North America,2014/05/12,2Q14,"$22,600,000",Growth Equity,"$102,850,000",Yes,Siemens Venture Capital (SVC),Braemar Energy Ventures,Kleiner Perkins Caufield & Byers (KPCB),Voyager Capital,Rho Ventures,BMW i Ventures,,,,,,,
NexSteppe,Biofuels & Biochemicals,"Agriculture,Biofuels & Biochemicals,Cellulosic Biomass,Feedstock Producer,Global Cleantech 100 (2012),Global Cleantech 100 (2013),Global Cleantech 100 (2014),Industrial Biotech,Non-Food Crops,Sorghum,Switchgrass","Developer of sustainable feedstock solutions for the biofuels, biopower and biobased products' industries",United States,North America,2014/09/24,3Q14,"$22,000,000",Growth Equity,"$45,658,346",Yes,Total Energy Ventures,ELFH Holding,Braemar Energy Ventures,CYM Ventures,DuPont Ventures,,,,,,,,
Context Relevant,Other Cleantech,Other Cleantech,Developer of next-gen big data aggregation and analytics tools,United States,North America,2014/05/20,2Q14,"$21,000,000",Series B,"$34,500,000",No,Formation 8,Madrona Investments,Bloomberg Beta,Vulcan Capital,Bank of America Merrill Lynch,New York Life Venture Capital,,,,,,,
Good Eggs,Agriculture & Food,"Agriculture & Food,Cleanweb,Local Food Sourcing,Software",Developer of local food sourcing website,United States,North America,2014/09/08,3Q14,"$21,000,000",Series B,"$29,500,000",No,Index Ventures,,,,,,,,,,,,
Ioxus,Energy Storage,"C&I Energy Management,Capacitors,Energy Storage,Global Cleantech 100 (2011),Global Cleantech 100 (2012),Global Cleantech 100 (2013),Global Cleantech 100 (2014),Grid Energy Storage,Mechanical/Electrical Storage,Power Grid,Renewables Integration,Vehicle Energy Storage","Developer of ultracapacitors and hybrid-capacitors that can be made into individual cells, pre-packaged modules, or complete systems",United States,North America,2014/04/03,2Q14,"$21,000,000",Growth Equity,"$57,000,000",No,International Finance Corporation (IFC),The Westly Group,,,,,,,,,,,
Nenuphar,Wind,"Giromill,Hardware,Offshore Wind,Small-Scale Wind,Turbine / Component Manufacturing,Vertical Axis Wind Turbine,Wind",Developer of a floating vertical axis offshore wind turbine,France,Europe & Israel,2014/04/16,2Q14,"$20,790,000",Series B,"$24,690,000",Yes,Idinvest Partners,BPIFrance,AREVA,French Environment and Energy Management Agency (ADEME),,,,,,,,,
Sigfox,Other Cleantech,"Agriculture,Agriculture & Food,Airplanes & Aviation,Bus,Business Process Optimization,Cellular Networking,Commercial Buildings,Connected Car,Energy Efficiency,Grid Networking,Grid Security,Internet of Things,Monitoring & Control,Other Cleantech,Parking Management,Precision Agriculture,Smart Grid,Traffic Monitoring,Trains,Transportation,Transportation Software,V2V,Vehicle to Grid",Developer of ultra narrow band technology for Machine-to-Machine communications,France,Europe & Israel,2014/03/28,1Q14,"$20,600,000",Series B,"$33,460,000",Yes,Idinvest Partners,Fonds Ambition Numérique,Intel Capital,iXO Private Equity,Partech International,,,,,,,,
Aquion Energy,Energy Storage,"Batteries,Electrochemical Storage,Energy Storage,Global Cleantech 100 (2012),Global Cleantech 100 (2013),Grid Energy Storage,Hardware,Power Grid,Wholesale Energy Services",Developer of batteries based on ambient-temperature sodium-ion technology; formerly known as 44 Tech,United States,North America,2014/01/08,1Q14,"$20,000,000",Growth Equity,"$123,400,000",No,Kleiner Perkins Caufield & Byers (KPCB),Foundation Capital,Advanced Technology Ventures,Bill Gates,Bright Capital,Gentry Venture Partners,Tao Invest,Yung's Enterprise,,,,,
Avere Systems,Energy Efficiency,"Cloud Computing,Energy Efficiency,Green IT,Hardware,Software",Developer of data storage solutions that help reduce power consumption,United States,North America,2014/07/10,3Q14,"$20,000,000",Growth Equity,"$72,000,000",Yes,Western Digital,Lightspeed Venture Partners,Menlo Ventures,Norwest Venture Partners,Tenaya Capital,,,,,,,,
Enlighted,Energy Efficiency,"Building Energy Management Systems,Cleanweb,Commercial Buildings,Demand Response,Energy Efficiency,Enterprise Energy Management,Global Cleantech 100 (2012),Global Cleantech 100 (2013),Hardware,Internet of Things,Lighting,Lighting Control Systems,Smart Buildings,Software",Provider of lighting control systems for energy management applications,United States,North America,2014/08/20,3Q14,"$20,000,000",Growth Equity,"$62,375,000",Yes,Draper Nexus Ventures,RockPort Capital Partners,Kleiner Perkins Caufield & Byers (KPCB),Intel Capital,Draper Fisher Jurvetson (DFJ),Electranova Capital,,,,,,,
